C:\Users\shash\Desktop\btp\backend\utils.py:333: size=198 MiB, count=903, average=225 KiB
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\pydub\audio_segment.py:132: size=1732 KiB, count=1, average=1732 KiB
C:\Users\shash\anaconda3\envs\lab\lib\selectors.py:315: size=144 KiB, count=3, average=48.0 KiB
C:\Users\shash\Desktop\btp\backend\utils.py:381: size=68.2 KiB, count=903, average=77 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\numpy\core\fromnumeric.py:57: size=33.3 KiB, count=599, average=57 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\PIL\Image.py:795: size=25.9 KiB, count=301, average=88 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\torch\nn\modules\module.py:925: size=12.0 KiB, count=171, average=72 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\torchvision\models\googlenet.py:228: size=10.1 KiB, count=176, average=59 B
C:\Users\shash\Desktop\btp\backend\utils.py:338: size=8008 B, count=286, average=28 B
C:\Users\shash\anaconda3\envs\lab\lib\abc.py:123: size=7488 B, count=93, average=81 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\torch\nn\modules\module.py:1130: size=6152 B, count=13, average=473 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\torchvision\transforms\functional_tensor.py:951: size=5913 B, count=81, average=73 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\torchvision\transforms\functional_tensor.py:952: size=4234 B, count=58, average=73 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\PIL\Image.py:400: size=3120 B, count=52, average=60 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\torch\_jit_internal.py:423: size=3120 B, count=16, average=195 B
<__array_function__ internals>:179: size=2544 B, count=7, average=363 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\flask\json\tag.py:289: size=2512 B, count=6, average=419 B
C:\Users\shash\Desktop\btp\backend\utils.py:405: size=2464 B, count=1, average=2464 B
C:\Users\shash\Desktop\btp\backend\utils.py:339: size=2464 B, count=1, average=2464 B
C:\Users\shash\Desktop\btp\backend\utils.py:337: size=2464 B, count=1, average=2464 B
C:\Users\shash\anaconda3\envs\lab\lib\sre_compile.py:780: size=2376 B, count=6, average=396 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\torch\nn\modules\module.py:1725: size=2240 B, count=4, average=560 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\PIL\ImageMode.py:88: size=2224 B, count=16, average=139 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\PIL\Image.py:423: size=2160 B, count=36, average=60 B
<__array_function__ internals>:180: size=1920 B, count=4, average=480 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\torch\nn\modules\container.py:139: size=1864 B, count=4, average=466 B
C:\Users\shash\Desktop\btp\backend\utils.py:336: size=1760 B, count=32, average=55 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\PIL\ImageMode.py:26: size=1744 B, count=40, average=44 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\torch\nn\modules\module.py:579: size=1736 B, count=3, average=579 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\torch\nn\modules\module.py:578: size=1736 B, count=3, average=579 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\torch\nn\modules\module.py:1255: size=1728 B, count=3, average=576 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\torch\nn\modules\module.py:1124: size=1344 B, count=2, average=672 B
C:\Users\shash\anaconda3\envs\lab\lib\os.py:418: size=1200 B, count=2, average=600 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\PIL\Image.py:802: size=1102 B, count=2, average=551 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\PIL\Image.py:426: size=1080 B, count=13, average=83 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\torch\nn\modules\module.py:1210: size=1054 B, count=2, average=527 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\torchvision\transforms\functional.py:164: size=976 B, count=4, average=244 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\PIL\ImageMode.py:69: size=960 B, count=20, average=48 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\PIL\Image.py:403: size=927 B, count=11, average=84 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\PIL\Image.py:1176: size=912 B, count=2, average=456 B
C:\Users\shash\anaconda3\envs\lab\lib\json\encoder.py:253: size=880 B, count=1, average=880 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\flask\json\tag.py:138: size=872 B, count=2, average=436 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\itsdangerous\serializer.py:208: size=864 B, count=2, average=432 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\flask\json\tag.py:290: size=848 B, count=2, average=424 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\torch\nn\modules\batchnorm.py:134: size=836 B, count=2, average=418 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\flask_cors\decorator.py:128: size=832 B, count=2, average=416 B
C:\Users\shash\anaconda3\envs\lab\lib\sre_parse.py:443: size=832 B, count=1, average=832 B
C:\Users\shash\anaconda3\envs\lab\lib\sre_compile.py:477: size=832 B, count=1, average=832 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\pydub\utils.py:313: size=832 B, count=1, average=832 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\pydub\audio_segment.py:730: size=832 B, count=1, average=832 B
<unknown>:0: size=832 B, count=1, average=832 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\itsdangerous\timed.py:52: size=816 B, count=2, average=408 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\torchvision\transforms\functional.py:168: size=808 B, count=2, average=404 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\PIL\Image.py:731: size=800 B, count=2, average=400 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\torch\nn\modules\module.py:577: size=779 B, count=2, average=390 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\pydub\audio_segment.py:796: size=680 B, count=1, average=680 B
C:\Users\shash\anaconda3\envs\lab\lib\sre_parse.py:836: size=664 B, count=1, average=664 B
C:\Users\shash\anaconda3\envs\lab\lib\sre_compile.py:168: size=664 B, count=1, average=664 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\pydub\utils.py:288: size=664 B, count=1, average=664 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\pydub\audio_segment.py:764: size=664 B, count=1, average=664 B
C:\Users\shash\anaconda3\envs\lab\lib\json\encoder.py:322: size=664 B, count=1, average=664 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\sqlalchemy\orm\state_changes.py:137: size=640 B, count=2, average=320 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\pydub\audio_segment.py:780: size=640 B, count=2, average=320 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\werkzeug\sansio\response.py:230: size=640 B, count=1, average=640 B
C:\Users\shash\anaconda3\envs\lab\lib\json\encoder.py:429: size=632 B, count=1, average=632 B
C:\Users\shash\Desktop\btp\backend\process.py:36: size=628 B, count=2, average=314 B
C:\Users\shash\anaconda3\envs\lab\lib\json\encoder.py:257: size=619 B, count=2, average=310 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\flask\sessions.py:409: size=616 B, count=2, average=308 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\torchvision\models\googlenet.py:221: size=600 B, count=1, average=600 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\torch\nn\modules\batchnorm.py:135: size=600 B, count=1, average=600 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\pydub\audio_segment.py:728: size=600 B, count=1, average=600 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\pydub\audio_segment.py:283: size=600 B, count=1, average=600 B
C:\Users\shash\anaconda3\envs\lab\lib\os.py:342: size=600 B, count=1, average=600 B
C:\Users\shash\Desktop\btp\backend\process.py:42: size=600 B, count=1, average=600 B
C:\Users\shash\Desktop\btp\backend\process.py:32: size=600 B, count=1, average=600 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\sqlalchemy\pool\base.py:1393: size=584 B, count=1, average=584 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\flask\sessions.py:410: size=584 B, count=1, average=584 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\PIL\Image.py:1262: size=568 B, count=1, average=568 B
C:\Users\shash\Desktop\btp\backend\utils.py:368: size=544 B, count=3, average=181 B
C:\Users\shash\anaconda3\envs\lab\lib\threading.py:966: size=544 B, count=1, average=544 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\torchvision\transforms\functional_pil.py:275: size=544 B, count=1, average=544 B
C:\Users\shash\Desktop\btp\backend\utils.py:402: size=544 B, count=1, average=544 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\torch\nn\modules\conv.py:457: size=536 B, count=1, average=536 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\torch\nn\modules\batchnorm.py:168: size=536 B, count=1, average=536 B
C:\Users\shash\anaconda3\envs\lab\lib\subprocess.py:1435: size=535 B, count=9, average=59 B
C:\Users\shash\anaconda3\envs\lab\lib\threading.py:389: size=528 B, count=1, average=528 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\torch\nn\modules\conv.py:448: size=524 B, count=2, average=262 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\torchvision\transforms\functional.py:430: size=520 B, count=1, average=520 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\torch\nn\modules\pooling.py:1179: size=520 B, count=1, average=520 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\torch\nn\functional.py:1213: size=520 B, count=1, average=520 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\pydub\audio_segment.py:222: size=520 B, count=1, average=520 B
C:\Users\shash\Desktop\btp\backend\utils.py:383: size=520 B, count=1, average=520 B
