C:\Users\shash\anaconda3\envs\lab\lib\site-packages\pydub\audio_segment.py:132: size=47.4 MiB, count=1, average=47.4 MiB
C:\Users\shash\Desktop\btp\backend\utils.py:403: size=1529 KiB, count=20247, average=77 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\numpy\core\fromnumeric.py:57: size=739 KiB, count=13496, average=56 B
C:\Users\shash\Desktop\btp\backend\utils.py:353: size=184 KiB, count=6735, average=28 B
C:\Users\shash\anaconda3\envs\lab\lib\selectors.py:315: size=144 KiB, count=7, average=20.6 KiB
C:\Users\shash\Desktop\btp\backend\utils.py:358: size=58.3 KiB, count=1, average=58.3 KiB
C:\Users\shash\Desktop\btp\backend\utils.py:354: size=58.3 KiB, count=1, average=58.3 KiB
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\torchvision\models\googlenet.py:228: size=19.8 KiB, count=344, average=59 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\torch\nn\modules\module.py:925: size=12.0 KiB, count=171, average=72 B
C:\Users\shash\Desktop\btp\backend\utils.py:351: size=11.0 KiB, count=204, average=55 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\PIL\Image.py:400: size=9000 B, count=150, average=60 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\torchvision\transforms\functional_tensor.py:952: size=8541 B, count=117, average=73 B
C:\Users\shash\anaconda3\envs\lab\lib\abc.py:123: size=7488 B, count=93, average=81 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\torchvision\transforms\functional_tensor.py:951: size=7154 B, count=98, average=73 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\torch\nn\modules\module.py:1130: size=5488 B, count=11, average=499 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\PIL\Image.py:423: size=5340 B, count=89, average=60 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\torch\nn\modules\module.py:1725: size=3000 B, count=5, average=600 B
C:\Users\shash\anaconda3\envs\lab\lib\sre_compile.py:780: size=2376 B, count=6, average=396 B
<__array_function__ internals>:179: size=2272 B, count=5, average=454 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\PIL\ImageMode.py:88: size=2224 B, count=16, average=139 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\PIL\Image.py:1975: size=2054 B, count=2, average=1027 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\torchvision\transforms\functional.py:123: size=2040 B, count=2, average=1020 B
<__array_function__ internals>:180: size=1920 B, count=4, average=480 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\torch\nn\modules\module.py:579: size=1800 B, count=3, average=600 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\torch\nn\modules\module.py:578: size=1800 B, count=3, average=600 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\torch\nn\modules\module.py:1255: size=1728 B, count=3, average=576 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\PIL\ImageMode.py:26: size=1680 B, count=39, average=43 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\torch\nn\modules\module.py:1124: size=1344 B, count=2, average=672 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\torch\nn\modules\container.py:139: size=1200 B, count=2, average=600 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\PIL\Image.py:802: size=1102 B, count=2, average=551 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\PIL\Image.py:426: size=1080 B, count=13, average=83 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\torch\nn\modules\module.py:1210: size=1054 B, count=2, average=527 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\torchvision\transforms\functional.py:164: size=976 B, count=4, average=244 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\PIL\ImageMode.py:69: size=960 B, count=20, average=48 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\PIL\Image.py:403: size=927 B, count=11, average=84 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\PIL\Image.py:1176: size=912 B, count=2, average=456 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\torchvision\transforms\functional.py:509: size=907 B, count=2, average=454 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\torch\nn\modules\batchnorm.py:134: size=836 B, count=2, average=418 B
C:\Users\shash\anaconda3\envs\lab\lib\sre_parse.py:443: size=832 B, count=1, average=832 B
C:\Users\shash\anaconda3\envs\lab\lib\sre_compile.py:477: size=832 B, count=1, average=832 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\pydub\utils.py:313: size=832 B, count=1, average=832 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\pydub\audio_segment.py:778: size=832 B, count=1, average=832 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\pydub\audio_segment.py:730: size=832 B, count=1, average=832 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\itsdangerous\timed.py:52: size=816 B, count=2, average=408 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\torchvision\transforms\functional.py:363: size=814 B, count=2, average=407 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\torchvision\transforms\functional.py:168: size=808 B, count=2, average=404 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\PIL\Image.py:731: size=800 B, count=2, average=400 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\torch\nn\modules\module.py:577: size=779 B, count=2, average=390 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\torchvision\transforms\functional_pil.py:240: size=778 B, count=2, average=389 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\torch\_jit_internal.py:423: size=768 B, count=2, average=384 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\pydub\audio_segment.py:796: size=680 B, count=1, average=680 B
C:\Users\shash\anaconda3\envs\lab\lib\sre_parse.py:836: size=664 B, count=1, average=664 B
C:\Users\shash\anaconda3\envs\lab\lib\sre_compile.py:168: size=664 B, count=1, average=664 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\pydub\utils.py:288: size=664 B, count=1, average=664 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\pydub\audio_segment.py:764: size=664 B, count=1, average=664 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\pydub\audio_segment.py:780: size=640 B, count=2, average=320 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\werkzeug\sansio\response.py:230: size=640 B, count=1, average=640 B
C:\Users\shash\Desktop\btp\backend\process.py:43: size=628 B, count=2, average=314 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\torchvision\models\googlenet.py:221: size=600 B, count=1, average=600 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\torch\nn\modules\pooling.py:162: size=600 B, count=1, average=600 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\torch\nn\modules\batchnorm.py:135: size=600 B, count=1, average=600 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\pydub\audio_segment.py:728: size=600 B, count=1, average=600 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\pydub\audio_segment.py:283: size=600 B, count=1, average=600 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\pydub\audio_segment.py:222: size=600 B, count=1, average=600 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\pydub\audio_segment.py:112: size=600 B, count=1, average=600 B
C:\Users\shash\anaconda3\envs\lab\lib\os.py:418: size=600 B, count=1, average=600 B
C:\Users\shash\Desktop\btp\backend\utils.py:399: size=600 B, count=1, average=600 B
C:\Users\shash\Desktop\btp\backend\process.py:49: size=600 B, count=1, average=600 B
C:\Users\shash\Desktop\btp\backend\process.py:37: size=600 B, count=1, average=600 B
C:\Users\shash\anaconda3\envs\lab\lib\site-packages\torchvision\transforms\functional_tensor.py:936: size=586 B, count=2, average=293 B
